SNName,RA(deg),DEC(deg),observed,yearchecked
SN2021uqw,328.49762083333326,6.697511111111111,False,2021
SN2021agbn,59.30354166666666,-25.403380555555554,False,2021
SN2018jov,120.02974999999999,58.70970833333334,True,2018
SN2019enz,209.2754083333333,27.994086111111113,False,2019
SN2020able,141.5094083333333,24.521619444444443,False,2020
SN2020abtf,119.89367916666666,15.300005555555556,False,2020
SN2020acat,177.67170416666664,-10.227422222222222,True,2020
SN2020acct,146.23358333333329,31.09604722222222,True,2020
SN2020pvb,313.47096666666664,-25.473913888888887,False,2020
SN2020scq,40.9700375,-0.6186,False,2020
SN2020tcw,232.0712333333333,39.94736111111111,True,2020
SN2020wtq,18.283720833333334,28.676980555555556,False,2020
SN2020yvu,345.2494583333333,40.910599999999995,False,2020
SN2020zbf,29.5069625,-41.34773333333334,False,2020
SN2020znr,109.77676249999999,23.885366666666666,True,2020
SN2021aadc,1.1361083333333333,19.76143888888889,False,2021
SN2021acya,60.557333333333325,-28.39158888888889,False,2021
SN2021afkk,37.49986666666666,28.63418611111111,True,2021
SN2021afuq,156.96729166666663,-43.90199166666667,False,2021
SN2021afur,155.55415833333333,17.861225,False,2021
SN2021arg,67.82827916666666,-10.396347222222222,False,2021
SN2021dnm,189.35089583333334,23.093541666666667,True,2021
SN2021ek,50.95791666666666,-10.044788888888888,False,2021
SN2021fmu,157.9843125,-15.955449999999999,False,2021
SN2021ghc,149.13747499999997,0.7522888888888889,True,2021
SN2021gma,241.36574166666662,57.95788888888889,False,2021
SN2021hen,196.93285833333331,24.810530555555555,False,2021
SN2021iyt,154.6850583333333,0.05538055555555556,False,2021
SN2021jpk,219.75010416666666,12.66945,False,2021
SN2021kyv,216.98036666666664,33.00207777777778,False,2021
SN2021lwz,146.19744166666663,34.71228055555556,False,2021
SN2021mim,235.08902083333328,7.281527777777778,True,2021
SN2021pb,146.19506666666663,51.68739444444444,False,2021
SN2021uhk,351.5566583333333,1.1455333333333333,False,2021
SN2021uyc,329.18893749999995,27.905030555555555,False,2021
SN2021wvd,227.6456791666666,13.458452777777778,False,2021
SN2021yky,16.959266666666664,27.3148,True,2021
SN2021dov,134.07796249999998,-0.4421388888888889,False,2021
SN2021cgu,165.76545416666664,5.098169444444444,False,2021
SN2020zpi,40.085220833333324,-1.4468611111111112,True,2020
SN2021uoy,343.90605416666665,19.173830555555558,False,2021
SN2021xju,305.62943333333334,-53.27885833333333,False,2021
SN2021bmx,153.7093583333333,-38.19163888888889,False,2021
SN2020yzo,100.88373333333332,-72.590425,False,2020
SN2019esa,118.75370416666665,-76.41197500000001,True,2019
SN2020acma,159.49108333333334,-28.908549999999998,False,2020
SN2021xbg,35.98522083333333,-6.701041666666667,False,2021
SN2020xyw,112.03324999999998,-62.358041666666665,False,2020
SN2021hiz,186.423625,7.228388888888889,False,2021
SN2021foa,199.30147499999995,-17.257158333333333,False,2021
SN2021ybc,37.32929166666667,-4.681766666666667,False,2021
